DEPT,CNPOR,GR,RHOB,DT,MELCAL,SPOR,Vsh
1000.00,4.62,10.82,2.93,51.77,8.26,2.95,0.02
1000.50,4.29,11.34,2.94,51.98,8.22,3.10,0.02
1001.00,4.14,11.72,2.93,52.10,8.20,3.18,0.02
1001.50,4.03,13.02,2.91,52.13,8.20,3.20,0.02
1002.00,3.94,12.72,2.88,52.07,8.19,3.16,0.02
1002.50,3.84,12.60,2.87,51.95,8.19,3.07,0.02
1003.00,3.84,15.86,2.87,51.77,8.19,2.95,0.03
1003.50,4.07,19.69,2.87,51.61,8.19,2.84,0.04
1004.00,4.51,21.08,2.88,51.51,8.19,2.77,0.05
1004.50,4.94,22.90,2.89,51.50,8.20,2.76,0.05
1005.00,5.22,23.22,2.89,51.54,8.20,2.79,0.05
1005.50,5.30,23.59,2.89,51.58,8.21,2.82,0.05
1006.00,5.24,24.20,2.88,51.60,8.22,2.83,0.05
1006.50,5.04,24.29,2.88,51.61,8.22,2.84,0.05
1007.00,5.01,24.07,2.87,51.63,8.23,2.85,0.05
1007.50,5.61,22.40,2.87,51.66,8.25,2.87,0.05
1008.00,6.85,22.55,2.86,51.71,8.25,2.90,0.05
1008.50,8.14,21.67,2.84,51.80,8.25,2.97,0.05
1009.00,9.08,19.90,2.84,51.95,8.26,3.07,0.04
1009.50,9.82,20.37,2.86,52.10,8.27,3.18,0.04
1010.00,10.65,21.68,2.89,52.23,8.28,3.27,0.05
1010.50,11.73,20.85,2.91,52.36,8.31,3.36,0.04
1011.00,12.78,23.06,2.89,52.59,8.33,3.53,0.05
1011.50,13.27,25.39,2.83,53.11,8.34,3.90,0.06
1012.00,13.29,27.01,2.75,54.15,8.34,4.63,0.06
1012.50,13.33,36.46,2.71,55.62,8.34,5.67,0.09
1013.00,13.47,45.51,2.73,56.98,8.36,6.64,0.12
1013.50,13.39,41.72,2.79,57.61,8.38,7.08,0.11
1014.00,12.79,32.55,2.84,57.35,8.43,6.89,0.08
1014.50,12.69,21.65,2.84,56.62,8.52,6.38,0.05
1015.00,14.58,15.70,2.79,56.23,8.63,6.10,0.03
1015.50,18.53,16.10,2.71,57.15,8.73,6.75,0.03
1016.00,22.76,23.10,2.62,60.42,8.83,9.07,0.05
1016.50,25.00,37.54,2.55,66.90,8.96,13.65,0.09
1017.00,25.53,55.36,2.50,76.31,9.09,20.30,0.15
1017.50,24.51,71.29,2.47,86.56,9.25,27.56,0.19
1018.00,22.37,70.49,2.44,94.90,9.45,33.45,0.19
1018.50,21.58,68.33,2.42,99.91,9.79,36.99,0.18
1019.00,22.77,68.26,2.41,102.01,10.07,38.48,0.18
1019.50,25.59,62.80,2.42,102.67,10.13,38.95,0.17
1020.00,29.35,55.52,2.44,103.32,10.11,39.40,0.15
1020.50,30.98,53.67,2.45,104.53,10.00,40.26,0.14
1021.00,28.84,58.68,2.45,106.40,9.99,41.58,0.16
1021.50,25.59,63.00,2.44,109.14,10.20,43.52,0.17
1022.00,23.03,63.58,2.42,112.51,10.33,45.91,0.17
1022.50,21.05,63.07,2.38,115.27,10.46,47.86,0.17
1023.00,20.92,72.15,2.36,116.32,10.49,48.60,0.20
1023.50,23.22,75.70,2.35,115.83,10.45,48.26,0.21
1024.00,25.47,71.84,2.37,115.21,10.08,47.81,0.19
1024.50,25.48,70.64,2.40,115.62,9.60,48.11,0.19
1025.00,24.08,76.62,2.42,116.52,9.55,48.74,0.21
1025.50,23.73,77.08,2.43,116.20,9.54,48.52,0.21
1026.00,25.57,74.39,2.42,113.89,9.54,46.88,0.20
1026.50,28.49,68.76,2.38,110.28,9.55,44.33,0.19
1027.00,29.88,70.09,2.34,107.06,9.56,42.05,0.19
1027.50,28.48,79.42,2.33,106.01,9.58,41.31,0.22
1028.00,26.79,92.77,2.34,107.20,9.58,42.15,0.26
1028.50,27.84,95.49,2.37,108.93,9.57,43.37,0.26
1029.00,31.20,93.09,2.38,110.09,9.58,44.19,0.26
1029.50,33.86,91.43,2.37,111.25,9.60,45.01,0.25
1030.00,32.89,96.12,2.38,113.07,9.61,46.30,0.27
1030.50,29.04,99.81,2.40,115.23,9.56,47.83,0.28
1031.00,25.83,88.36,2.42,116.59,9.42,48.79,0.24
1031.50,25.49,80.81,2.43,116.19,9.35,48.51,0.22
1032.00,27.59,72.68,2.44,114.17,9.34,47.08,0.20
1032.50,29.90,72.62,2.44,111.45,9.34,45.16,0.20
1033.00,30.65,72.62,2.44,108.77,9.35,43.26,0.20
1033.50,28.92,69.80,2.44,107.23,9.37,42.17,0.19
1034.00,26.17,68.68,2.44,108.61,9.42,43.14,0.19
1034.50,25.64,76.90,2.43,113.62,9.45,46.69,0.21
1035.00,28.01,79.93,2.42,120.15,9.46,51.31,0.22
1035.50,31.24,76.77,2.42,124.35,9.46,54.28,0.21
1036.00,33.80,79.23,2.42,123.89,9.45,53.96,0.22
1036.50,35.17,84.50,2.43,119.71,9.45,50.99,0.23
1037.00,35.29,83.03,2.43,114.51,9.46,47.32,0.23
1037.50,33.26,79.61,2.43,111.25,9.48,45.01,0.22
1038.00,29.42,82.03,2.42,112.16,9.50,45.65,0.22
1038.50,26.47,92.03,2.42,116.87,9.52,48.99,0.25
1039.00,26.58,94.27,2.40,121.80,9.54,52.47,0.26
1039.50,28.85,84.76,2.39,123.73,9.55,53.84,0.23
1040.00,29.83,83.80,2.38,123.16,9.59,53.44,0.23
1040.50,28.77,86.24,2.37,122.64,9.62,53.07,0.24
1041.00,26.56,88.39,2.37,123.59,9.62,53.74,0.24
1041.50,24.65,92.51,2.37,125.47,9.63,55.07,0.26
1042.00,24.42,94.22,2.36,126.80,9.63,56.01,0.26
1042.50,26.91,96.98,2.35,126.62,9.59,55.88,0.27
1043.00,31.99,91.45,2.35,124.81,9.55,54.61,0.25
1043.50,34.49,88.94,2.37,121.74,9.55,52.43,0.25
1044.00,31.57,85.75,2.39,118.37,9.55,50.05,0.24
1044.50,28.81,78.20,2.41,115.68,9.55,48.15,0.21
1045.00,27.99,72.18,2.40,113.76,9.55,46.79,0.20
1045.50,27.40,70.48,2.38,112.64,9.56,46.00,0.19
1046.00,28.20,74.50,2.35,112.98,9.60,46.23,0.20
1046.50,29.95,80.25,2.35,115.02,9.64,47.68,0.22
1047.00,30.48,90.20,2.36,117.75,9.69,49.61,0.25
1047.50,31.09,93.21,2.39,119.77,9.74,51.04,0.26
1048.00,33.04,89.75,2.43,120.88,9.80,51.82,0.25
1048.50,34.11,96.36,2.46,121.65,9.87,52.37,0.27
1049.00,34.31,97.72,2.48,121.89,9.88,52.54,0.27
